模型名称,免费剩余额度,过期时间,免费额度用完即停,LLM_MAX_OUTPUT_TOKENS
qwen3.7-plus,"剩1,000,000/共1,000,000",2026/09/01,已开启,64k
qwen-math-turbo,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-235b-a22b-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3-vl-32b-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-plus-2025-07-28,"剩20,386/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-r1-distill-qwen-7b,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
glm-5,"剩193,013/共1,000,000",2026/06/24,已开启,198k
qwen-mt-flash,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-30b-a3b-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3.6-plus,"剩992,515/共1,000,000",2026/07/02,已开启,64k
qwen-vl-ocr-latest,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3-32b,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
deepseek-r1-distill-qwen-32b,"剩1,000,000/共1,000,000",2026/06/24,已开启,128k
qwen-vl-plus,"剩877,146/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
glm-4.5-air,"剩1,000,000/共1,000,000",2026/06/24,已开启,198k
qwen3-coder-480b-a35b-instruct,"剩314,734/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-vl-8b-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3-vl-flash-2025-10-15,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen-vl-ocr-1028,"剩1,000,000/共1,000,000",2026/06/24,已开启,8192
qwen3-max-preview,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-8b,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-plus-0112,"剩805,760/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-plus,"剩174,468/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-math-plus,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
gui-plus,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen-turbo,"剩201,428/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qwen3-coder-flash,"剩698,287/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
qvq-max,"剩966,938/共1,000,000",2026/06/24,已开启,128k
qwen3-next-80b-a3b-thinking,"剩1,000,000/共1,000,000",2026/06/24,已开启,未明确（官方文档未逐条列出）
